"indic","qdesc","sdesc","who_2016","ilab","subst","samb","dontask1","dontask2","dontask3","dontask4","dontask5","dontask6","dontask7","dontask8","doaskif","nnonly","a_nrp","a_pend_6w","a_preg","b_0101","b_0102","b_0103","b_0104","b_0105","b_0106","b_0107","b_0108","b_0109","b_0110","b_0111","b_0112","b_0199","b_0201","b_0202","b_0203","b_0204","b_0205","b_0299","b_0301","b_0302","b_0303","b_0401","b_0402","b_0403","b_0499","b_0501","b_0502","b_0601","b_0602","b_0701","b_0801","b_0901","b_0902","b_0903","b_0904","b_0905","b_0906","b_0907","b_0908","b_0999","b_1001","b_1002","b_1003","b_1004","b_1006","b_1099","b_1101","b_1102","b_1201","b_1202","b_1203","b_1204","b_1205","b_1206","b_1207","b_1208","b_1209","b_1210","b_1299","b_9800","c_cult","c_emer","c_hsys","c_inev","c_know","c_resr"
"i243o","During the illness that led to death, did (s)he have noticeable weight loss?","wt loss","W610243-o","W610243-o (wt loss)","Y","M","i022gY","","","","","","","","","","A-","B","B","B-","B-","A-","A+","B","B","B","A-","A","D-","D","D-","A-","A","A","A","A","A","A","B","I","A-","B-","B","A","D","D","D","C","B","B","C","C","C","C","C","C","C","C","C","C","B+","D","C","C","D","D","N","N","A-","A-","A-","A-","A-","A-","A-","A-","A-","A-","A-","B","D","D","D","D","D","C"
"i244o","Was (s)he severely thin or wasted?","wt waste","W610244-o","W610244-o (wt waste)","Y","M","i022gY","","","","","","","","i243oY","","A+","B-","B-","D","D","A","A-","C","B","E","D","A","E","D","E","E","A","A","A","A","A","A","D","I","E","D","C","D","D","D","E","E","D","D","D","E","E","E","E","E","E","E","E","D","N","N","E","E","N","N","N","N","E","E","E","E","E","E","E","E","E","E","D","C","C","C","B","B","B","C"
"i245o","During the illness that led to death, did s/he have a whitish rash inside the mouth or on the tongue?","wht rash","W610245-o","W610245-o (wht rash)","Y","M","i022gY","","","","","","","","","","C+","C+","C+","D","D","B","D","D","B","D","D","D","D","E","E","C","B","C+","B","B","B","B","C+","D","C+","D","D","D","D","D","D","D","D","D","C+","D","D","D","D","D","D","D","D","D","D","D","D","D","C+","D","N","N","D","D","D","D","D","D","D","D","D","D","D","C+","D","D","D","D","D","D"
"i246o","During the illness that led to death, did (s)he have stiffness of the whole body or was unable to open the mouth?","stiff","W610246-o","W610246-o (stiff)","Y","M","i022gY","","","","","","","","","","C-","C-","C-","D","D","D","D","D","D","C+","I","D","D","C-","C","C-","D","D","D","D","D","D","D","D","D","D","C+","D","D","D","D","D","D","D","C+","D","D","C","D","D","D","D","D","D","D","D","D","D","C-","D","N","N","D+","D+","D","D","D","C-","C-","C-","C-","D+","C","D","D","C","D","C","B","D"
"i247o","During the illness that led to death, did (s)he have puffiness of the face?","sw pu face","W610247-o","W610247-o (sw pu face)","Y","M","i022gY","i022fY","","","","","","","","","C","B","B","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","C-","E","C-","C-","D","D","C-","D","D","C-","C-","C-","D","D","C-","C-","D","D","D","A-","A","D","C","C","C","C","C","C","C","C","C","D","D","D","D","D","D","N","N","D","D","D","D","D","D","D","D","D","D","D","C","D","D","D","D","D","D"
"i248a","Did (s)he have puffiness of the face for at least one week before death?","sw p f 1+w","W610248-a","W610248-a (sw p f 1+w)","Y","M","i022gY","i022fY","","","","","","","i247oY","","C","B","B","D","D","C-","D","D+","E","E","E","C","E","E","E","C-","D","D+","D+","C-","D+","C","E","D","C","C-","C-","E","C+","C-","D","E","C","C+","D","D","D","B","D","D","D+","D+","D","D","N","N","N","N","N","N","N","N","C-","E","D+","E","D+","D","E","D","E","D","E","C","D","D","D","D","D","D"
"i249o","During the illness that led to death, did (s)he have swollen legs or feet?","sw lg ft","W610249-o","W610249-o (sw lg ft)","Y","M","i022gY","","","","","","","","","","C","B","A-","C+","D","B","C+","D+","D","C-","C","C","C","D","E","C+","C","C","C","C","C","C-","B-","C","C","C","C","C","C","C","C","C","C","C","C","C","C","A","C","B","C","C","C","C","N","N","N","N","N","N","N","N","D+","D","C-","D","C","D+","D","D","D","D","D","C","D","D","D","C","D","D"
"i250a","Did the swelling last for at least 3 days before death?","sw lf 3+d","W610250-a","W610250-a (sw lf 3+d)","Y","M","i022gY","","","","","","","","i249oY","","C","B","A-","C+","D","C-","C","D+","D","C-","E","C","C","D","E","C","E","E","E","E","E","C-","C","C","E","E","C","E","C","E","E","E","E","E","E","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D","E","C-","E","C-","D","E","E","E","E","E","C","D","D","D","C","D","D"
"i251o","Did (s)he have both feet swollen?","sw lf bth","W610251-o","W610251-o (sw lf bth)","Y","M","i022gY","i022fY","","","","","","","i249oY","","B-","B","B+","C","C","B","C","C","C","C","C","C","C-","D","E","B-","C","C","D","C","C","B-","B-","B+","B-","B-","B-","B-","A","C","B-","B-","B+","B+","B-","C","C","A","C","B","C","C","C","C","D","D","D","D","D","D","N","N","D","D","D","D","D","D","D","D","D","D","D","B-","D","D","D","C","D","D"
"i252o","During the illness that led to death, did (s)he have general puffiness all over his/her body?","sw puf all","W610252-o","W610252-o (sw puf all)","Y","M","i022gY","","","","","","","","","","C","C","C","E","D","C-","C-","D+","E","E","E","C-","E","E","E","C-","E","C-","D+","C-","D+","C","E","E","C","C-","C","E","C+","C-","D","E","C","B+","D-","D","D","B","D+","D-","C-","D+","D","D+","N","N","N","N","N","N","N","N","C-","E","D+","E","C-","D+","D+","D+","E","D","E","C","D","D","D","C","D","D"
"i253o","During the illness that led to death, did (s)he have any lumps?","lumps","W610253-o","W610253-o (lumps)","Y","M","i022gY","","","","","","","","","","C+","C","C","D","D","C","D","D","D","D","D","C","D","D","D","C","A","C","C","C","C","C","C","C","D","D","D","D","D","D","D","C","B","C","D","C","C","A","C","C","C","C","C","C","N","N","D","D","C","C","N","N","C","C","C","D","D","C","D","D","C","D","B","C","D","D","C","B","C","D"
"i254o","Did (s)he have any lumps or lesions in the mouth?","lm mou","W610254-o","W610254-o (lm mou)","Y","M","i022gY","","","","","","","","i253oY","","C+","C","C","D","D","C","D","D","D+","D","D+","D","D-","E","E","D","I","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","C","C","C","C","C","C","C","C","C","D","D","D","D","C","D","N","N","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","B+","D","C"
"i255o","Did (s)he have any lumps in the neck?","lm nck","W610255-o","W610255-o (lm nck)","Y","M","i022gY","","","","","","","","i253oY","","C+","D","D","C+","C+","A-","D","D","C+","C+","C+","B","D-","E","E","A","A","A","D","D","D","C","D","C+","D","D","D","D","D","D","D","D","D","D","D","C","B","C","C","C","B","C","C","C","D","D","D+","D+","C+","N","N","N","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","B+","D","C"
"i256o","Did (s)he have any lumps in the armpit?","lm arm","W610256-o","W610256-o (lm arm)","Y","M","i022gY","","","","","","","","i253oY","","C","C","C","D","D","C","D+","D","D+","D","D+","C","D+","E","E","D+","C","D-","C","A+","C","B","D","D+","D","D","D","D","D","D","D","D","D","D","D","D+","D+","D+","D+","D+","D+","D+","D+","D+","N","N","D","D","D","N","N","N","D","D","D","D","D","D","D","D","D","D","D","D+","D","D","D","B+","D","C"
"i257o","Did (s)he have any lumps in the groin?","lm grn","W610257-o","W610257-o (lm grn)","Y","M","i022gY","","","","","","","","i253oY","","B","B","B","D","D","C","D","D","D","D","C-","D+","N","E","E","C+","D","D-","E","D","I","D","D","D","D","D","D","D","D","D","D","D","D","D","D","C","C","C","C","C","C","C","C","C","N","N","N","N","D","N","N","N","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","B+","D","C"
"i258o","During the illness that led to death, was (s)he in any way paralysed?","paral","W610258-o","W610258-o (paral)","Y","M","i022gY","","","","","","","","","","C","C","C","D","D","C","D+","D","D","D","D","D+","D","E","E","D","D-","C-","D","C-","D","C","C","C","C","C-","B","C","C","D","D-","D","D","C-","D+","D","D","C","D","D","D","D","D","D-","N","N","N","N","N","N","N","N","C-","C-","C-","D","D-","D","D","D+","D","D","D","C-","C","C","C","B","B","D"
"i259o","Did (s)he have paralysis of only one side of the body?","par 1 side","W610259-o","W610259-o (par 1 side)","Y","M","i022gY","","","","","","","","i258oY","","C+","C-","C-","D","D","D","D","C","C","C+","C+","D","D-","N","N","C","C-","C-","C-","C-","C-","C","C+","C+","C+","D","A+","C+","D-","D","D","D","D","D","C+","D","D","B","D","D","D","D","D","D","D","D","D","D","C+","D","N","N","C+","C+","C+","D","D","C+","D","D","D","D","D","C+","C","B","B","B","B","C"
"i260a","Was only the right side of the body paralysed?","par rs","W610260-a","W610260-a (par rs)","Y","M","i260gY","i022gY","","","i260bY","","","","i259oY","","C","C","C","E","D","D+","D-","D-","E","E","E","D","E","E","E","D-","E","D-","E","D","E","D","E","E","D+","D","B","E","D","E","E","E","E","D","D","D","D","B","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D-","E","D+","E","E","E","E","E","E","D-","N","D+","D","B","C","B","C","C"
"i260b","Was only the left side of the body paralysed?","par ls","W610260-b","W610260-b (par ls)","Y","M","i260gY","i022gY","","","i260aY","","","","i259oY","","C","C","C","E","D","D+","D","E","E","E","E","D","E","E","E","D","E","D","D-","E","D-","D+","E","E","C-","D+","B","E","C-","D-","D-","E","E","D-","D-","D","D","B","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D","E","E","E","E","E","E","E","E","E","E","D","D","B","C","B","C","C"
"i260c","Was only the lower part of the body paralysed?","par lo","W610260-c","W610260-c (par lo)","Y","M","i260dY","i260gY","i022gY","","","i259oY","","","i258oY","","C","C","C","E","D","D","D-","E","E","E","E","D-","E","E","E","E","D-","D","D-","D","D-","D+","E","E","D-","D","C","E","D","D-","E","E","D-","D-","D-","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D","E","D+","E","E","E","E","E","E","E","D-","D","D","B","C","B","C","C"
"i260d","Was only the upper part of the body paralysed?","par up","W610260-d","W610260-d (par up)","Y","M","i260cY","i260gY","i022gY","","","i259oY","","","i258oY","","C","C","C","E","D","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","C","E","E","E","E","E","E","E","E","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D","E","E","E","E","E","E","E","E","E","E","D","D","B","C","B","C","C"
"i260e","Was only one leg paralysed?","par leg","W610260-e","W610260-e (par leg)","Y","M","i260fY","i260dY","i260gY","i022gY","","","","","i258oY","","C","C","C","E","D","D","E","E","E","E","E","E","E","E","E","E","E","D","E","D-","D-","D","E","E","D-","D-","C","E","D-","E","E","E","D","E","E","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","E","E","D-","E","E","E","E","E","E","E","E","D","D","B","D","B","C","C"
"i260f","Was only one arm paralysed?","par arm","W610260-f","W610260-f (par arm)","Y","M","i260eY","i260cY","i260gY","i022gY","","","","","i258oY","","C","C","C","E","D","D-","D-","E","E","E","E","E","E","E","E","E","E","E","D-","D+","E","D-","E","E","D-","D-","C","E","D-","E","E","E","E","E","E","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","E","E","E","E","E","E","E","D-","E","E","D-","D","D","B","D","B","C","C"
"i260g","Was the entire body paralysed?","par all","W610260-g","W610260-g (par all)","Y","M","i022gY","i260cY","i260eY","i260dY","i260fY","i260aY","i260bY","i259oY","i258oY","","C","C","C","E","D","D","E","E","E","E","B","E","E","E","E","E","E","E","E","D","D-","D","E","E","D-","D+","C-","E","D","E","E","E","E","D","D-","D","D","D","D","D","D","D","D","D","N","N","N","N","N","N","N","N","D+","E","D+","E","D-","D","E","D","E","D-","D-","D+","C","B","B","A","B","C"
"i261o","During the illness that led to death, did (s)he have difficulty swallowing?","swallow","W610261-o","W610261-o (swallow)","Y","M","i022gY","","","","","","","","","","C","C","C","C","D","B-","C+","C-","C","C","C","C+","C","E","E","C+","B-","B","C","C+","C-","B-","C","C","C+","C","B","C","C+","C","C-","C","C+","B-","C-","C","C","C-","D","C","C-","D","C","C-","N","N","N","N","C","N","N","N","C","E","C-","D-","C-","C-","D+","D+","C","C-","D-","C+","D","C","D","B","D","C"
"i262a","Did (s)he have difficulty swallowing for at least one week before death?","swa 1+w","W610262-a","W610262-a (swa 1+w)","Y","M","i022gY","","","","","","","","i261oY","","C","C","C","E","D","B-","C","D+","E","E","E","C+","E","E","E","C","C-","C+","C-","C","C-","B-","E","E","C","C-","C","E","C+","C","D+","E","C","C+","D+","D","D","D","D-","D","D+","D","D","D","N","N","N","N","N","N","N","N","C-","E","D+","E","D+","D","E","D+","E","D","D-","C","D","C","D","B","D","C"
"i263a","Did (s)he have difficulty with swallowing solids?","swa sol","W610263-a","W610263-a (swa sol)","Y","M","i022gY","","","","","","","","i261oY","","C","C","C","E","D","C+","C-","D+","E","E","E","C","E","E","E","C-","D+","C-","C-","C","D+","C+","E","E","C","C-","B","E","C","C-","D+","E","C","C","D+","D","D","D","D","D","D+","D-","D","D+","N","N","N","N","N","N","N","N","D","E","D+","D-","D+","D","D-","D","E","D","D-","C","D","C","D","B","D","C"
"i263b","Did (s)he have difficulty with swallowing liquids?","swa liq","W610263-b","W610263-b (swa liq)","Y","M","i022gY","","","","","","","","i261oY","","C","C","C","C","C","C","C","C","C","C","C","C","C","E","E","C","B","A","C","C","C","B","C","C","C","C","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","N","N","N","N","C","N","N","N","C","C","C","C","C","C","C","C","C","C","C","C","D","C","D","B","D","C"
"i264o","Did (s)he have pain upon swallowing?","swa pain","W610264-o","W610264-o (swa pain)","Y","M","i022gY","","","","","","","","","","C","C","C","E","D","B-","C","C-","E","E","E","C+","E","E","E","C-","C-","C+","C-","C","C-","C+","E","E","C","C-","C","E","C","C-","D","E","C","C+","D+","D","D","D","D","D","D","D","D","D-","N","N","N","N","N","N","N","N","C-","E","D+","D","C-","D","D-","D+","E","D+","D-","C","D","C","D","C","D","D"
"i265o","During the illness that led to death, did (s)he have yellow discolouration of the eyes?","yellow","W610265-o","W610265-o (yellow)","Y","M","","","","","","","","","","","C","C","C","C","C","C","C","B","C","C","C","C","C","B","D","B","C","A","B","C","C","A","C","B-","C","D","D","B+","D","D","D","C+","A+","C","D","C","C","C","C","C","B","C","C","C","B-","C-","C","B","B-","C-","N","N","D","D","D","D","D","D","C","D","D","D","D","C","D","C","D","C","D","D"
"i266a","Did (s)he have the yellow discolouration for at least 3 weeks before death?","yell 3+w","W610266-a","W610266-a (yell 3+w)","Y","M","i022gY","","","","","","","","i265oY","","C","C","C","E","D","C","D+","D","D","E","E","C-","E","E","E","C-","D-","C-","C-","C-","D+","C","E","E","C","D+","C-","E","C","D+","E","E","E","C","D-","D","D","D","D","E","D","D-","D","D","N","N","N","N","N","N","N","N","D-","E","D+","E","D","D","D-","D-","E","D-","D-","B","D","C","C","B","B","D"
"i267o","During the illness that led to death, did her/his hair change to a reddish or yellowish colour?","hair","W610267-o","W610267-o (hair)","Y","M","i022gY","","","","","","","","","","C","C","C","C","C","B","C+","C","C+","C","C","C","D","C","E","C","C","C","C","C","C","C","C","A+","C","C","C","C","C","D","C","C","C","C","C","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","D","D","D","D","C","D","D","D","D","D","D","C","D","D","D","C","D","C"
"i268o","During the illness that led to death, did (s)he look pale (thinning/lack of blood) or have pale palms, eyes or nail beds?","pale","W610268-o","W610268-o (pale)","Y","M","i022gY","","","","","","","","","","B","B+","B+","C","C","C+","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","B+","I","A-","C","C","C","A-","B+","C","C","C","C","C","C","B","A","C","B+","C","C","I","B","C","E","E","E","E","E","E","N","N","C+","C+","C","C","C","C","C","C","C","C","C","C","D","D","D","C","D","C"
"i269o","During the illness that led to death, did (s)he have sunken eyes?","eyes sunk","W610269-o","W610269-o (eyes sunk)","Y","M","i022aY","i022bY","i022cY","i022gY","","","","","","","N","N","N","B","B","B+","A-","B-","B","C","D","B+","C","D","E","B","D","D","D","D","D","D","D","A+","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","C-","C-","B","B","D","C-","N","N","D","D","D","D","D","D","D","D","D","D","D","C","D","D","D","D","D","D"
"i270o","During the illness that led to death, did (s)he drink a lot more water than usual?","drink ++","W610270-o","W610270-o (drink ++)","Y","M","i022gY","i022fY","","","","","","","","","C","C","C","C","C","C","C+","C","C","C","C","C","D","C","D","C","C","C-","C-","C","C-","C-","D","D","A+","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","N","N","N","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D"
"i271o","Was the baby able to suckle or bottle-feed within the first 24 hours after birth?","suckle","W610271-o","W610271-o (suckle)","N","M","i022aY","i022bY","i022cY","i022dY","i022eY","","i022fY","i114oY","","","N","N","N","N","N","N","N","N","N","C","D","E","E","E","E","E","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","A+","A","D","D","D","D","A","A","E","E","E","E","E","D","E","N","D","E","D","N","D","D","D","C","D","D"
"i272o","Did the baby ever suckle in a normal way?","suck ev","W610272-o","W610272-o (suck ev)","N","M","i022aY","i022bY","i022cY","i022dY","i022eY","","i022fY","i114oY","i271oY","","N","N","N","N","N","N","N","N","N","C","D","N","N","N","E","E","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","A+","A","D","D","D","D","A","A","E","E","E","E","E","D","E","N","D","E","D","N","D","D","D","C","D","D"
"i273o","Did the baby stop suckling?","suck st","W610273-o","W610273-o (suck st)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","","i022fY","i114oY","i272oY","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","E","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","C+","C+","C+","B","C+","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D","C","D","D"
"i274a","Did the baby stop suckling on the 2nd day of life or later?","suck st d1+","W610274-a","W610274-a (suck st d1+)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","i022hY","i022fY","i114oY","i273oY","","N","N","N","N","N","N","D","N","N","D","D","N","N","N","E","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","N","N","N","N","N","N","N","N","N","D","D","A","A","D","D","N","N","E","E","E","E","E","D","E","N","D","E","D","E","D","D","D","C","D","D"
"i275o","Did the baby have convulsions starting within the first 24 hours of life?","conv d0","W610275-o","W610275-o (conv d0)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","","i022fY","i114oY","","","N","N","N","N","N","N","D","N","N","N","D","N","E","N","E","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","B","N","N","N","N","N","N","N","N","N","B","B","D","C","D","C","N","N","E","E","E","E","E","D","E","N","D","E","D","E","D","B","C","C","D","D"
"i276o","Did the baby have convulsions starting more than 24 hours after birth?","conv d1+","W610276-o","W610276-o (conv d1+)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","i022hY","i022fY","i114oY","","","N","N","N","N","N","N","D","N","N","A","C","N","E","N","E","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","B","N","N","N","N","N","N","N","N","N","B","B","D","C","D","C","N","N","E","E","E","E","E","D","E","N","D","E","D","E","D","C","C","C","D","D"
"i277o","Did the baby's body become stiff, with the back arched backwards?","stiff","W610277-o","W610277-o (stiff)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","","","i114oY","","","N","N","N","N","N","N","D","N","N","B","A-","N","N","N","E","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","N","N","N","N","N","N","N","N","N","D","N","D","D","D","D","N","N","E","E","E","E","E","D","E","N","D","E","D","E","D","C","C","C","D","D"
"i278o","During the illness that led to death, did the baby have a bulging or raised fontanelle?","font up","W610278-o","W610278-o (font up)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","i279oY","","i114oY","","","N","N","N","C","C","C","C-","C","C-","A","C-","N","E","N","E","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","N","N","N","N","N","N","N","N","N","D","D","D","D","C-","D","N","N","E","E","E","E","E","D","E","N","D","E","D","E","B","B","B","C","B","D"
"i279o","During the illness that led to death, did the baby have a sunken fontanelle?","font lo","W610279-o","W610279-o (font lo)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","i278oY","","i114oY","","","N","N","N","D","D","D","A","C","C+","D-","D","N","E","N","E","C","N","N","N","N","N","N","N","C+","N","D","D","D","D","N","D","D","D","D","D","N","N","N","N","N","N","N","N","N","C","D","D","D","C","C","N","N","E","E","E","E","E","D","E","N","D","E","D","E","C","C","C","D","C","D"
"i281o","During the illness that led to death, did the baby become unresponsive or unconscious?","unresp","W610281-o","W610281-o (unresp)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","","","i114oY","","","N","N","N","N","D","D","D","B","D","B+","C","N","N","E","E","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","N","N","N","N","N","N","N","N","N","B","C","D","B","D","B","N","N","N","N","N","N","N","N","N","N","N","N","N","E","D","B","B","C","D","D"
"i282o","Did the baby become unresponsive or unconscious soon after birth, within less than 24 hours?","unc d0","W610282-o","W610282-o (unc d0)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","","i022fY","i114oY","i281oY","","N","N","N","N","N","N","E","N","N","N","N","N","N","N","E","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","N","N","N","N","N","N","N","N","N","B","C","D","B","D","B","N","N","N","N","N","N","N","N","N","N","N","N","N","E","D","B","B","C","D","D"
"i283o","Did the baby become unresponsive or unconscious more than 24 hours after birth?","unc d1+","W610283-o","W610283-o (unc d1+)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","i022hY","","i114oY","i281oY","","N","N","N","N","E","D","E","C","D","C","D","N","N","E","E","E","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","N","N","N","N","N","N","N","N","N","B","D","C","B","C","B","N","N","E","E","E","E","E","D","E","N","D","E","D","E","D","C","C","C","D","D"
"i284o","During the illness that led to death, did the baby become cold to touch?","cold","W610284-o","W610284-o (cold)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","","","i114oY","","","N","N","N","E","N","N","D","D","N","D","D","N","N","N","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","N","N","N","N","N","N","N","N","N","B","B","D","D","D","C","N","N","E","E","E","E","E","D","E","N","D","E","D","E","D","C","C","C","D","D"
"i285a","Was the baby more than 3 days old when it started feeling cold to touch?","cold 3+d","W610285-a","W610285-a (cold 3+d)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","i022hY","i022fY","i114oY","i284oY","","N","N","N","E","N","N","D","D","N","D","D","N","N","N","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","N","N","N","N","N","N","N","N","N","B","B","D","D","D","C","N","N","E","E","E","E","E","D","E","N","D","E","D","E","D","C","C","C","D","D"
"i286o","During the illness that led to death, did the baby become lethargic, after a period of normal activity?","lethargy","W610286-o","W610286-o (lethargy)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","i022hY","","i114oY","","","N","N","N","D","E","E","E","D","D","D","E","N","N","E","E","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","B-","B","B-","B+","B-","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","C","C","C","D","D"
"i287o","Did the baby have redness or discharge from the umbilical cord stump?","umbil dis","W610287-o","W610287-o (umbil dis)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","","i022fY","i114oY","","","N","N","N","N","N","N","D","D","D","D","A-","N","N","N","N","B","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","N","N","N","N","N","N","N","N","N","D","D","C","A","D","D","N","N","E","E","E","E","E","D","E","N","D","E","D","E","D","B","C","D","D","D"
"i288o","During the illness that led to death, did the baby have skin ulcer(s) or pits?","sk ulcer","W610288-o","W610288-o (sk ulcer)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","i022fY","","i114oY","","","N","N","N","D","N","E","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D+","C-","N","B","E","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","B","C","D","D","D"
"i289o","During the illness that led to death, did the baby have yellow skin, palms (hand) or soles (foot)?","yellow","W610289-o","W610289-o (yellow)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","","","i114oY","","","N","N","N","E","N","E","D","C","D","D","D","N","E","N","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","C","D","D","N","N","N","N","N","N","N","N","N","D","D","C","C","D","C","N","N","E","E","E","E","E","D","E","N","D","E","D","E","D","D","D","D","D","D"
"i290o","Did the baby or infant appear to be healthy and then just die suddenly?","sudd d","W610290-o","W610290-o (sudd d)","Y","M","i022aY","i022bY","i022cY","i022dY","i022eY","","","i114oY","","","N","N","N","D","N","N","N","D","E","B","N","N","N","D","D","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","B-","B-","C+","B-","C+","E","N","N","N","N","N","N","N","N","N","N","N","N","N","N","E","B","E","B","E","D"
"i294o","During the illness that led to death, did she have any swelling or lump in the breast?","sw lm bre","W610294-o","W610294-o (sw lm bre)","Y","M","i022gY","i022fY","i022eY","i022dY","i019aY","","","","","","C-","B+","B","D-","D-","D","D-","D-","D-","D-","D-","D-","D-","N","N","D-","E","E","E","I","E","E","D-","D-","D-","D-","D-","D-","D-","D-","D-","D-","D","D-","D-","C","C","C","C","C","C","C","C","C+","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","D-","D","D","C","B+","D","C"
"i295o","During the illness that led to death, did she have any ulcers (pits) in the breast?","sw ul bre","W610295-o","W610295-o (sw ul bre)","Y","M","i022gY","i022fY","i022eY","i022dY","i019aY","","","","","","C","C","C","E","D","D","D","E","E","E","E","D","E","E","E","E","E","E","E","B","E","E","E","E","D","E","D+","E","D+","D","E","E","E","D+","E","D","D","D","D","D","D","D+","D","D","N","N","N","N","N","N","N","N","N","E","E","E","E","E","E","E","E","E","E","D","D","D","C","B+","D","C"
"i296o","Did she ever have a period or menstruate?","menstr","W610296-o","W610296-o (menstr)","Y","M","i022gY","i022fY","i022eY","i022dY","i019aY","","","","","","B","B","B","C","D","C","C","C","C","C","C","C","C","C","C","C","C","D","D","D","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","B","C","C","C","C","C","C","C","N","N","N","N","N","N","N","N","C","E","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"i297o","During the illness that led to death, did she have excessive vaginal bleeding in between menstrual periods?","men betw","W610297-o","W610297-o (men betw)","Y","M","i022gY","i022fY","i022eY","","i019aY","","","","i296oY","","D","B","B","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","A","D","C","D","D","D","D","D","D","D","D","D","D","D","D","C","B","D","D","D","C","D","D","D","N","N","N","N","N","N","N","N","D","D","D","D","D","D","D","D","D","D","D","D","C","C","C","C","C","C"
